'blue chip' share	蓝筹股
certainty	n. 确定，确实的事情，确定；必然，确信；确实
certificate	n. 证书，证书，证明，证书；证明，（毕业）文凭，成绩合格证书 vt.
certificated	adj. 持有职业培训证书的；有执业资格的
chain	n. 一系列；一连串（人或事），链子，链子；一系列；连锁商店，链子；链条，链条，铁链，链条，链，链条；一连串的事物，链条；锁链，链子；连锁；锁链
chain store	连锁店
chair	椅子 n. 椅子
chairman	主席 n. 主席，主席，主持人，主席，会长
chairperson	n. 主席
chalk	n. 粉笔
challenge	n. 挑战，挑战，考验 n.&vt. 挑战 v. 向（某人）挑战 v.&n. 挑战，挑战；考验 vt. 挑战；邀请比赛
challenge...to...	向（某人）挑战
challenging	adj. 具有挑战性的，挑战性的，挑战性的；考验能力的，有挑战性的
chamber	adj. 室内（音乐）的
chameleon	变色龙
champagne	n. 香槟酒，香槟（酒）
champion	冠军 n. 冠军，冠军，优胜者，冠军，第一名，冠军；优胜者
championship	锦标赛 n. 冠军称号，锦标赛，大赛，锦标赛；冠军地位，（常用复数）锦标赛
chance	n. 可能性；机会，机会，机会；可能性，机会；机遇，机会；运气
change	改变，改变，变化，改变；变化 n. 找给的零钱；找头，改变，变化，零头，找头 v. 变化；改变 v.&n. 改变，变化；改变，改变；变化 vt.&vi. 改变，变化
change for the better	变好
change into	变成……，转换成，变成
change one's attitude towards sb./sth.	改变某人对……的看法
change one's mind	改变主意
change with the times	随时代变化而改变
changeable	adj. 可改变的，多变的，多变的，易变的
changed	change的过去式
channel	频道 n. 频道，水道；航道；隧道，电视频道，途径；渠道，（电视或电台）频道 vt.
chant	n. 重复唱的歌词；圣歌，重复唱的歌词；歌谣 v. 反复地喊；反复地唱，反复（单调）地说（或唱），（反复地）喊、说、唱等 vi.&vt. 唱歌；歌颂，唱颂；反复呼喊
chaos	n. 混乱，混乱，无秩序，混乱，杂乱，紊乱
chap	n. 【英，非正式】男人，家伙
chapel	n. 小教堂
chapter	n. 章节，章，回，篇，（书的）章，篇，回；时期，时代，（书中的）章；篇；回
char	vi. 烧焦
character	人物，人物角色，特征，角色 n. 人物，人物，角色，人物；角色，性格，性格；特性；字符，性格；特点，文字，文字；特点；性格；角色，文字；符号；人物；角色，角色；人物，（书、剧本、电影等中的）人物，角色；（汉）字，字体；品格，（书写或印刷）文字，符号；人物；性格，（小说、戏剧当中的）人物；特点；特色，人物；性格，（书写或印刷的）字，字体
characteristic	adj. 典型的 n. 特征，特性，特质，特征，特点，特征；品质，特征；特性，特点，特性，（人或物的）特征，特性
characterize	v. 以……为特征
charcoal	n. 木炭
charge	n. 费用；价钱 v.  vt. 指控，控告 vt.&vi.
chariot	n. 双轮马车
charity	n. 慈善，慈善团体，慈善团体；慈善，慈善机构；慈善，赈济；仁爱，宽厚，慈善；慈善机构，慈爱；仁爱；慈善，慈善（团体）；施舍，慈善，施舍
charm	n. 魅力 v. 吸引，使陶醉
charming	adj. 迷人的；有魅力的，令人着迷的；迷人的；吸引人的，迷人的，有魅力的，娇媚的，迷人的；娇媚的
chart	图表 n. 图表，图；图表，表格，图表 vt.
charter	n. 宪章，章程，宪章
chase	雕镂，追赶 v. 追逐，追赶，追踪 vt.&n. 追赶，追击
chat	聊天 n. 闲谈，聊天 v. 闲谈，聊天，聊天，交谈，闲聊，闲谈，闲聊；闲谈；聊天 v.&n. 聊天，闲谈 vi. 聊天，闲聊 vi.&n. 聊天，闲谈，聊天；闲聊 vt. 与……搭讪；与……攀谈
chat client	聊天程序客户端程序
chat room	聊天室 n. （互联网上的）聊天室
chat show	n. 访谈节目
chatter	vi. 喋喋不休，唠叨
chauffeur	n. （尤指私家车的）司机
cheap	便宜的，花钱少的；便宜的 adj. 便宜的，便宜的；廉价的，廉价的；便宜的
cheaply	adv. 便宜地，便宜地；低廉地
cheat	n.  v. 欺骗 v.&n. 作弊；欺骗，欺骗；作弊 vi.&vt. 欺骗；作弊 vt.&vi.
cheating	n. 欺骗；作弊
check	核对，核查，检查(过去式checked)，检查 n. 检查 v. 查看，核实；检查，检查；查看，检查；核实，检查；检验，检査，核査 v.&n. 检查；审查 vt. 检查；核实
check in	到达并登记，签到
check in at	（在旅馆、机场等）登记；报到
check out	察看；观察，结账，退房；付账后离开
check-up	n. 检查
checked	方格子花纹的
checklist	清单
checkout	n. 付账离开处；结账，（超市的）付款台；付款处，（超市等）收银台，付款处
cheek	n. 面颊，脸颊，脸颊，脸蛋，脸颊；脸蛋，面颊，脸颊
cheekbone	n. 颧骨
cheer	欢呼 n. 欢呼声，喝彩声 v. 为……喝彩，欢呼，喝彩，欢呼；喝彩，欢呼；喝彩；加油，鼓励；鼓舞 vi. 欢呼 vi.&vt. 欢呼，喝彩 vt. 使高兴
cheer for	为……欢呼／喝彩
cheer sb.up	使某人高兴，振作起来
cheer somebody up	鼓舞（某人）；使（某人）振奋起来
cheer up	使振作起来，感到高兴；感到振奋，高兴起来，（使）变得更高兴；振奋起来，（使）振作起来；（使）高兴起来
cheer...on	为……加油，用欢呼声激励；为……加油
cheer...up	使高兴起来；使振作起来，（使）变得更高兴；（使）振奋起来
cheerful	高兴的 adj. 兴高采烈的，快乐的，开朗的，快乐的；愉快的，快乐的；高兴的，愉快的，高兴的，愉快的，高兴的；令人愉快的，愉快的；高兴的
cheerleader	n. 拉拉队队员
cheerleading	n. 当拉拉队队员
cheers	int. （用于祝酒）祝你健康！ inter. 谢谢
cheese	奶酪 n. 干酪；奶酪，奶酪
cheeseburger	n. 奶酪汉堡，干酪汉堡包
cheetah	猎豹
chef	厨师 n. 厨师，厨师，（尤指饭店宾馆的）厨师长，厨师，（尤指）主厨，厨师长，厨师；主厨，厨师长，主厨
chef's hat	厨师帽
chemical	adj. 化学的；关于化学的，化学的 n. 化学制品；化学品，化学品，化学物质，化学药品，化学物
chemist	n. 化学家，化学家；药剂师，药剂师，药商；化学家，药剂师；化学家
chemistry	化学 n. 化学，化学；化学物质
cheongsam	n. 旗袍
cheque	n. 支票
cherries	樱桃
cherry	樱桃 n. 樱桃，樱桃；樱桃树
chess	国际象棋，棋，象棋，（国际）象棋 n. 国际象棋
chess pieces	国际象棋的棋子
chessboard	n. 国际象棋棋盘
chest	n. 箱子，胸膛；胸腔，胸部，胸膛，胸部，胸膛；大箱子
chew	咀嚼 v. 咀嚼 vi.&vt. 咀嚼，嚼碎；咬，啃 vt. 咀嚼，咀嚼，嚼碎，深思，嚼碎，咀嚼 vt.&vi. 嚼碎；咀嚼（食物）
chewing gum	口香糖
chick	小鸡 n. 小鸟，小鸡
chicken	小鸡，鸡，鸡肉，鸡肉；小鸡，鸡；鸡肉，鸡肉；鸡，鸡，鸡肉 n. 鸡肉，鸡肉；鸡
chief	adj. 最重要的；首要的，主要的，首要的，最高级别的，首席的；主要的 n. 部落首领
chief editor	主编
child	(pl. children)n.(14岁以下的)小孩，儿童，(pl.children)n.儿童，小孩，孩子，孩子(复数形式为children)，孩子（复数children），小孩，儿童（复children），小孩，儿童 n. 儿童，子女 pl.
childhood	孩童时期 n. 童年；幼年时代，童年，童年，儿童时代，童年，幼年，童年，幼年时代，童年；幼年，孩童时期；童年
childish	adj. 孩子气的，幼稚的，孩子的，幼稚的，孩子的；孩子气的；孩子所特有的；幼稚的
children	child的复数，孩子们，孩子，儿童，小孩（child的复数），（child的复数形式）孩子们，（child的复数）儿童，（child的复数）孩子们
chili	n. 辣椒
chill	n. 寒冷，寒意
chilled	adj. 冷的；冷冻的
chilli	n. 红辣椒(chili)
chilly	adj. 寒冷的
chime	n. 铃声；钟声
chimney	n. 烟囱
chimp	n. （非洲）黑猩猩，黑猩猩
chimpanzee	猿猴，黑猩猩 n. 黑猩猩，（也缩写为chimp）黑猩猩
chin	n. 下巴，下颌
china	n. 瓷；瓷器
chip	芯片 n. 炸土豆条；炸薯条，炸薯条，（通常用复数chips）薯条，碎片；芯片，集成电路片，硅片 vi.  vt. 削；削成碎片
chips	炸薯条，（常复）炸薯条 n. 薯条；薯片
chocolate	巧克力 n. 巧克力
choice	选择 n. 选择，选择；抉择，选择；挑选
choir	n. 合唱团，合唱队，合唱团，唱诗班，合唱团，唱诗班；合唱团，（教堂里的）唱诗班；合唱队
choke	n.  v. （使）窒息，（使）噎住，（使）呼吸困难 vi. 窒息，噎住 vi.&vt. 使窒息，使不能呼吸，（使）噎住；（使）窒息 vt. 堵塞，阻碍
cholera	n. 霍乱
choose	选择 v. (chose)选择；挑选，(chose, chosen)选择；挑选，选择，选择（过去式是chose），选择；挑选，（chose/chosen）选择 vt.&vi. 选择；挑选
chop	n. （羊或猪）排骨肉 vt. 砍，剁碎
chop off	砍掉；砍下
chopstick	筷子 n. 筷子，筷子（一般用复数），（常复）筷子
chopsticks	（常复）筷子，筷子 n. [复]筷子，筷子
choral	adj. 唱诗班的；合唱队的
chore	零星的事物，家务 n. 家务活；琐事，杂务；乏味无聊的工作
chorus	n. 合唱部分，合唱队，合唱；合唱曲，合唱；合唱队 vt.
chose	choose的过去式
chrysanthemum	n. 菊花
chubby	adj. 丰满的，圆胖的
chuckle	n. 咯咯的轻声笑
chug	（发动机）发出咔嚓声
chunk	n. 厚块；大块
church	n. 教堂
cigar	n. 雪茄烟，雪茄
cigarette	n. 香烟；纸烟，纸烟；香烟，香烟，香烟，卷烟，香烟，纸烟，香烟；卷烟
cigarette lighter	打火机
cinema	电影院 n. 电影院
cinquain	n. 五行诗
circle	圆，圆形，圆，圈，龈：圆形，圆，圆形 n. [数]圆形，（熟悉的、相关的人形成的）圈子 v. 盘旋，环行 vi.&vt. 围绕；将……圈起来
circle of life	生命周期
circuit	n. 环形，环形道路，电路，电路，线路；环形线路
circular	adj. 圆形的；环形的；循环的，圆形的
circulate	v. 流传；传播，（使）循环 vi. 循环 vi.&vt. 循环；传播，散布；传递，传阅 vt.&vi. 循环；流传
circulation	n. （血液）循环；流通，发行
circumspection	n. 谨慎，慎重
circumstance	n. 环境；情况，情形，情况，情形；情况，条件，环境，状况，环境；详情；境况
circumstances	n. （复数）环境；状况
circus	n. 马戏团，马戏团，杂技团，马戏场，杂技场，马戏团；马戏表演，马戏表演；马戏团，马戏场
citizen	n. 公民；居民；市民，公民，市民，公民；居民，公民；市民，公民；市民；老百姓，市民；公民
citizenship	n. 公民身份；公民的职责和权力
city	城市 n. 城市，都市，城市
civil	adj. 公民的；国民的，民用的；国内的，公民的，国民的，公民的；国内的；民间的，公民的；民用的，公民的；民间的；文职的，文职的；文官的；贫民的，有教养的，有礼貌的； 国民的，平民的；民事的（非刑事的），民间的；国民的；国内的
civil engineering	土木工程
civilian	n. 平民，平民，百姓，平民；文职人员
civilisation	n. 文明
civilization	n. 文明；文化；文明社会，文明，文明状态；文明社会，文明，开化，教养
civilized	n. 有礼貌的，文雅的
claim	n. 断言，断言；声明 n.&vt. 要求；声称；主张 v. 索取，认领；宣称 vt. 声称，声称，断言
clam	n. 蛤
clank	n. 叮当声
clap	拍，拍手 v. 拍手；鼓掌，鼓掌，拍手 v.&n. 拍手；鼓掌 vi.&vt. 拍手，鼓掌；喝彩，鼓掌，拍手
clapping game	拍手游戏
clarify	v. 弄明白；澄清 vt. 澄清，讲清楚，澄清，阐明，阐明，使更清晰易懂，澄清；净化，澄清；阐明
clarity	n. 清楚，明白，清楚，透明，（思想等的）清楚；明晰
clash	n. 冲突
class	同学们，班，班级；全班，班级；课，班；班级，课，课；上课，课；班级，（一节）课；（一堂）课，班级 n. 同学；班级，班级；课
classic	adj. 最优秀的；典型的，传统的；经典的 n. 名著，经典作品；名著
classical	adj. 古典的，古典的；传统的，古典的；古代的，古典的；古典文艺的，古典的；经典的，经典的；古典的 n. 古典音乐
classify	v. 将……分类，将……分类；将……分等级 vt. 分类，归类，分类；分等，把……分类，编排；分类；归类
classmate	同班同学 n. 同班同学
classroom	教室 n. 教室
claw	爪子 n. 爪，爪子，爪；脚爪，（动物或鸟的）爪子，爪
clay	黏土，黏土；泥土 n. 黏土，黏土，陶土，黏土；泥土，黏土；陶土
clean	干净的，干净的，整洁的，干净的；洁净的，弄干净，弄干净，擦干净，打扫；干净的，打扫；（使）清洁，把……弄干净，把……擦干净；打扫，擦，洗，洁净的; 干净的，清洁，打扫(过去式cleaned)，弄干净；清洁的，打扫，打扫，清理 adj. 干净的 v.
clean my room	打扫房间，收拾房间，打扫我的房间
clean off	查去；消除
clean the room	打扫房间
clean up	打扫干净，打扫（或清除）干净
clean-up	清扫，清理
clean...off	把……擦掉
cleaned	（clean的过去式）打扫
cleaned the window	（过去式）擦窗子
cleaner	清洁工，清洁工人 n. 清洁器；清洁工人，清洁工；吸尘器；清洁剂
cleaning the room	正在打扫房间
cleanup	n. 清扫工作
clear	晴朗的，清澈的，清楚的，明亮的，清除，变干净 adj. 晴朗的；明亮的；清澈的，晴朗的；清晰的，清楚易懂的；晴朗的，清澈的；透明的；清楚的；明显的；明白的，（天气）晴朗的 v. 清理；清除，（烟雾等）开始消失 vi. 变晴朗；转晴，（烟雾）消散 vt. 清除，清理
clear one's throat	（开始说话前）清清喉咙
clear out	清理；丢掉
clearly	adv. 明确地；清楚地，清晰地，清楚地；清晰地；明显地，清楚地；清晰地；明白地
clergyman	n. 牧师；教士
clerk	n. 办事员，职员，售货员；接待员；文员，店员，办事员，职员，店员；办事员，职员，职员，办事员，售货员；职员；旅馆接待员
clever	聪明的，聪明的；聪颖的 adj. 聪明的，聪明的，聪颖的，聪明的；机灵的，聪明的；聪颖的
cleverly	adv. 聪明地
cliché	n. 陈词滥调
click	单击，发出咔哒声，点击 n.  v. 使发出咔哒声，单击，喜欢（某人），有相同想法（观点等），点击 vi. 点击 vi.&vt. 点击
client	用户，客户机 n. 客户；顾客，顾客，主顾
client operating systems	客户端操作系统
cliff	n. 悬崖；峭壁
climate	n. 气候
climax	n. 高潮，顶点，高潮；顶点 v. （小说、戏剧等的）高潮
climb	攀，爬，爬，爬，攀爬，爬，攀登 n. 攀登；爬 v. 攀登；攀爬，攀登；爬，爬，爬，攀登，爬；攀爬，爬；攀登 vi.&vt. 爬，攀登
climb a hill	爬山
climb on the window ledge	爬窗台
climb trees	爬树
climb up	爬上
climb up onto...	爬到……上
climbed	爬
climbed a hill	（过去式）爬山
climber	n. 爬山者；攀登者，登山者，攀爬者，登山者；攀登者
climbing	爬，（climb的-ing形式）（正在）攀登；攀爬
clinch	n.  v.
cling	v. 抓紧；坚持
cling to something	抓紧；紧握
clinic	n. 诊所，诊所；专科医院，门诊部；小诊所
clip	n. 弹夹；夹子，别针
clip-clop	v. （马蹄）发出嘚嘚声（指乘马车前进）
clipboard	剪贴板
cloakroom	n. 衣帽间，临时寄物处
clock	时钟，时钟：钟，钟，钟表，时钟；钟，钟，时钟 n. 时钟，时钟，钟，钟，钟；时钟
clock cycle	时钟脉冲周期
clock speed	时钟脉冲速度
clockwork	n. 钟表机械，发条装置
clod	n. 笨蛋，呆子
clone	n.  v. 克隆，克隆；无性繁殖 vt. 克隆
close	关上，关上；合上，关门，关闭，关门，歇业，关；关闭；合上，关；闭，合上，闭上，近的，接近的，关，合上，关闭，近的 adj. 亲密的，亲近的，亲密的，亲密的；严密的，（关系）密切的；亲密的，（在空间、时间上）接近 adv.  v. 关，关闭，合上；关闭
close by	在旁边，附近
close down	关闭；停业，（永久）关闭，关停
close to	几乎；接近，接近于；在……附近，靠近，（在空间、时间上）接近
close to...	接近于；在附近
close-up	n. 特写镜头
closed	adj. 关闭的
closely	adv. 密切地，密切地；接近地，紧密地
closet	衣柜
cloth	布，布；布料 n. 布，布料，织物；（一块）布，布；布料，布；衣料，织物，布料，布，布料
clothes	衣服，衣服；服装，衣服；衣物，衣物，（常复）衣服 n. (pl.)衣服；服装，衣服，衣服（总称），（pl.）衣服
clothes hanger	衣挂
clothing	n. 衣服，衣服；（尤指）某种服装，衣物
cloud	云，云，云朵 n. 云，云；云朵，云；云雾
cloudy	多云，多云的，多云的，阴天的，阴天的；多云的 adj. 多云的，多云的，阴天的，多云的；阴天的
clown	小丑 n. 小丑
club	俱乐部，俱乐部；兴趣小组 n. 俱乐部，俱乐部；社团，棍棒，社团；俱乐部，警棍，棍棒，高尔夫球棒
clue	n. 线索，线索；迹象，线索；提示
clump	vi. 成群；结块
clumsily	adv. 笨拙地；粗陋地
clumsy	adj. 笨拙的，无技巧的，笨拙的，笨拙的，粗陋的；不得体的，笨拙的；不得体的
clutch	vt. 抓住，攫住
cm	厘米 (=centimeter/centimetre)，厘米(=centimeter/centimetre) n. 厘米（=centimetre）
co-author	n. 合著者
co-founder	n. 共同创立者
co-operate	vi. （常与with连用）合作
co-operative	adj. 合作的
co-worker	n. 同事
coach	教练 n. 教练，教练；私人教师，教练；辅导教师，长途客车，长途汽车，（训练运动员参加比赛的）教练，（运动员的）教练 v. （英式英语）长途汽车 v.&n. 教练
coachman	n. 马车夫，赶马车的人
coal	煤炭 n. 煤，煤；煤块
coarse	adj. 粗糙的；鲁莽的
coast	n. 海岸；海滨，海岸
coastal	adj. 沿海的
coastguard	海岸警卫队；海岸警卫队队员 n. 海岸警卫员
coastline	n. 海岸线
coat	外套，外套；大衣，外衣，外套，大衣，大衣，外套，大衣；外套，上衣，外套，外套，上衣，外衣；大衣 n. 外套，外套；外衣，外套；大衣，涂料层；覆盖层
coat with rocks	装着石头的衣服
cobbled	adj. 铺鹅卵石的
cocaine	n. 可卡因
cockney	n. 伦敦东区土话
cockroach	蟑螂
cocoa	n. 可可热饮，可可粉，可可饮料；可可粉，热可可（饮料），可可饮料，可可粉
coconut	椰子
code	代码 n. 密码，法规，规则
coffee	咖啡 n. 咖啡
coffeemaker	n. 咖啡壶
coffin	n. 棺材
coin	硬币 n. 硬币 v. 创造，杜撰
coincidence	一致，符合，巧合 n. 巧合，巧合（的事）；（事情、口味、故事等）相合，巧合，一致，同时发生，巧合，碰巧
coins	硬币，硬币（复数）
coke	可乐 n. 可乐
cola	可乐，可乐；一杯可乐 n. 一杯（或一罐、一瓶）可乐，可乐，可乐饮料
cold	冷，冷的，冷的，寒冷的，冷的；寒冷的，凉的；冷的，寒冷的，感冒，感冒，伤风，寒冷的；冷的 adj. 冷的，寒冷的，寒冷的；冷的 n. 寒冷；冷空气，感冒；伤风
cold boot	冷启动
cold-colored	adj. 冷色调的
collaboration	n. 合作，协作,合作的产物
collapse	v. 倒塌，坍塌 vi. 倒塌，崩溃，倒塌；崩溃
collar	领子 n. 衣领，衣领，领子，衣领；领
colleague	n. 同事，同事，同僚
collect	收集，收集（过去式collected） v. 收集；采集，募捐；募集，收集，收集，搜集，收集；集合 vt. 收集，搜集
collected	收集
collecting erasers	收集橡皮
collection	收集 n. 作品集；收藏品；一批(人或物品)；取走，收藏品，收藏品，收集物，收藏品；收集物，收藏，征收，搜集品，捐款，收藏；收藏品，收藏品；珍藏；收集，收集，收取
college	n. 大学；学院，学院，学院；大学，学院；大学；高等专科学校，（美国）大学；（英国）学院
collision	n. 冲突，抵触；碰撞，相撞，碰撞，碰撞；冲突
collision course	冲突（的进程或行动）
colonel	n. （陆军）上校
colonial	adj. 殖民（时期）的
colonist	n. 殖民（地开拓）者
colonize	vt. 开拓殖民地于
colony	n. 殖民地
color	颜色 n. (=colour)颜色 v.
color depth	色深
colorful	色彩的，艳丽的 adj. 五彩缤纷的
coloring	涂色
colour	颜色，颜色；涂色，颜色；给……涂颜色，给……着色 adj.  n. 颜色(Am E color)
coloured	彩色的
colourful	多彩的，彩色的，丰富多彩的 adj. 彩色的，丰富多彩的，五彩续纷的；丰富多彩的，五彩缤纷的，多彩的
column	圆柱 n. 专栏，专栏；纵队，列，柱状物；柱状体
coma	vi. （因严重疾病或重伤引起的）昏迷
comb	梳头，梳子 n. 梳子，梳子，毛刷，（作为装饰物的）发插；梳子 v.  vi.  vt.
comb my hair	梳头
comb through something for	仔细搜寻
combat	n. 斗争，抗争，战斗，格斗，斗争；战斗；争斗
combination	n. 组合；结合，结合；组合
combine	v. 使混合，组合，联合；使结合，结合，联合 vt. 使联合，使结合，（使）结合，（使）联合 vt.&vi. （使）联合；（使）结合，组合；（使）联合
combine sth. with sth.	使结合；联合
combine...and...	使（物件）结合或混合形成一整体；合并；联合
combine...with...	将……与……相结合
come	来，来，来到，来；来到 v. 来，来，来到，来；来到
come a long way	走了相当长的路；从远处来
come about	发生，发生；造成
come across	偶然读到；偶遇，偶然遇见，偶遇，碰到，（偶然）遇见；发现，（偶然）遇见；碰见
come along	出现
come back	回来
come back to life	复苏；复活
come by	访问，看望
come down	崩塌，坍塌
come down with	患（病），染上……病
come forward	上前
come from	从……来，来自，出生于，来自，来自，来自……
come from sth.	来自
come from...	来自某处；源自……
come in	进来
come in last	得最后一名 (next to last 倒数第二名)
come into being	出现，诞生，形成，产生，形成，存在，形成；产生
come into contact with	与……接触
come into existence	产生；成立，出现，形成，产生，开始存在；开始形成，开始存在；形成
come into one's mind	想到（某事）
come into view	出现，映入眼帘，出现在眼前
come of age	到法定年龄，成年
come off it	别胡扯
come on	加油，快点，快点儿，快点儿；加油；来吧，快；加油，来吧，来吧，赶快，来吧；赶快，（用于命令）快；加油；加把劲，加油；快点
come out	出来，出版，出版；问世，开花；出版，发行
come out of	从……中出来，从……出来
come over	过来，（通常远距离地）从……到……(to……)
come round	拜访（某人的家），短暂拜访
come straight to the point	谈正题；开门见山
come to	共计，合计；总计，苏醒，醒过来
come to an end	完结，结束
come to do something	开始（认识、理解）
come to life	变得活跃，显得逼真，复活；复苏；变得活跃，活跃起来，活过来，苏醒过来，开始有生气
come to one's aid	帮助某人
come to one's rescue	救援某人，帮助某人
come to power	上台，当权；上台，掌权
come to school	来学校
come to tea	来喝茶
come to the conclusion	得出结论
come to the fore	变得重要，有影响力
come true	变为现实，成为事实，变成现实，实现，实现，成真，实现；成为现实，（希望、梦想等）实现，成真，（愿望、梦想等）实现
come up	成长，生长，走近；上来；提出，走近
come up to	朝……走过来
come up with	想出（主意），想出（答案，解决办法），找到，想出，找到，想出，提出（主意等），想出；拿出，想出；提出（主意、计划、回答等），提出，想出，提供
comedian	喜剧演员 n. 喜剧演员，喜剧演员，滑稽演员
comedy	喜剧 n. 喜剧，喜剧；喜剧片 v. 喜剧；喜剧片
comet	彗星 n. 彗星
comfort	n. 安慰；舒适，舒适，安逸 v.  vt.
comfortable	舒适的 adj. 使人舒服的；舒适的，舒服的，舒服的；安逸的；舒服自在的，舒适的，舒适的，使人舒服的，舒适的，充裕的，舒适的，舒坦的，满意的，舒适的；舒服的 adv. 舒服的
comfortably	adv. 舒服地；舒适地，舒适地；安逸地
comforts	n. （复数）使生活舒适的用品或设备
comic	滑稽的 adj. 好笑的，滑稽的，好笑的，喜剧的，连环画的，漫画的 n. 连环漫画杂志，连环画杂志
comic book	（儿童的）连环画册
comic strip	连环漫画 n. 连环漫画
coming	adj. 即将来临的，将来临的；将来的
comma	n. 逗号
command	命令 n. 命令，指挥，掌握，命令；指令 n.&vt. 命令；指令；掌握 v. 命令 vt.
command of	掌握；运用能力
command-line interface	命令语言界面
commander	n. 司令官；指挥官；队长，指挥官
commanding	adj. 居高临下的，指挥的，发号施令的
commemorate	v. 纪念 vt. 纪念
commendation	n. 称赞；表扬
comment	n. 意见，评论，意见；评论；议论，注释；评论，评论 v. (on)对……发表评论／意见 vi.  vi.&vt. 评论
commentary	n. 解说
commentator	n. （实况）解说员
commercial	广告 adj. 商业的，商业的，贸易的，商业的；贸易的 n. （电视或电台播放的）广告，（电视）广告
commercial advertisement	商业广告
commit	v. 犯（罪），犯（过失，罪），犯（错误，罪行） vi.  vt. 投入，犯罪；做（不合法的或错的事），犯（罪），犯（错误等）；干（蠢事等），犯（错误），干（坏事） vt.&vi. 全心全意投入；犯罪，犯错；承诺，保证
commit crimes	犯罪
commit suicide	自杀
commitment	n. 承诺；交托；信奉，忠诚；奉献，承担义务；许诺，承诺，保证；投入，奉献；不得不做的事，承诺；保证，许诺；委托事项；承担义务，责任，义务；承诺
committed	adj. 尽心尽力的；坚信的；坚定的，尽责的
committee	n. 委员会
common	adj. 常见的；通常的；普遍的，普通的，一般的，常见的，普通的，一般的；共有的，普通的，常见的，普通的；一般的，普通的；常见的 n. 与……相同
commonly	adv. 通常地；一般地
commonplace	adj. 普通的，平凡的
communicate	沟通 v. 交流，交流；沟通，沟通，交流，联系；交流，（与某人）交流信息；沟通 vi. 交流；通话；通信，（用语言信号）传递信息；交流 vi.&vt. 交流，交际
communicate with	与……联系／交往，交流，通话
communication	n. 交流，交际，交流；交际，交流；沟通，交流；表达，通讯；交流；交往
communications	n. [复数]通信，通讯手段
communications device	通讯设备
communications satellite	通信卫星
communism	n. 共产主义，共产：主义
communist	adj.  n. 共产主义者
community	公社；团体 n. 团体；社团；界，社区，社区，团体，集体，社会，社区；团体，社区；社会，社区；社团，社区；群落；共同体；团体，社区；团体；社会
compact disc read-only memory	光盘只读存储器
compact disc-recordable	可写光盘存储器
compact disc-rewritable	可擦写光盘存储器
companion	n. 伴侣，同伴，伴侣；陪伴，同伴，伴侣，同伴，朋友，同伴；朋友，同伴；伙伴
companionship	n. 交谊，友谊
company	公司 n. 公司，公司；剧团，公司；商号，（陆军的）连，连队
comparable	adj. 可比较的；适合相比的
compare	比较 v. 比较，比较，对比，比较；对比 vi.  vt. 比较 vt.&vi. 比较
compare to/with	与……相比
compare with	与……比较
compare...to	把……比作
compare...to...	把……比作……
compare...with	与……比较，比较；对比
compare...with...	把……与……对比，比较……与……
compared with	（与……）相比
comparison	n. 比较，比较；相似
comparison operations	比较运算
compass	指南针 n. 指南针；罗盘；（复数）圆规，指南针，指南针，罗盘，指南针，罗盘；圆规，罗盘；指南针
compassion	n. 同情，怜悯
compel	v. 强迫，迫使
compensate	v. 补偿；弥补 vi.  vt. 补偿，赔偿，补偿；赔偿；酬报 vt.&vi. 补偿，弥补；给（某人）赔偿
compensatory	adj. 补偿的；报酬的；赔偿的
compete	竞争 v. 参加比赛，竞争，对抗，竞争；对抗，竞争；比赛 vi. 比赛；竞争，竞争；比赛，比赛，竞争
compete for	为……竞争
competence	n. 能力，能力，胜任，称职，能力，胜任；技能，本领，能力；胜任；本领
competent	adj. 有能力的；能胜任的，有能力的，能胜任的，能胜任的；有能力的；称职的
competition	比赛，竞赛 n. 比赛，竞赛，比赛；竞争，比赛；竞赛，比赛；竞赛；竞争，竞争；比赛，竞赛，比赛；竞争
competitive	adj. 努力竞争的；好胜的，好强的；好竞争的，好竞争的，竞争的
competitor	n. 参赛者；竞争者，竞争者；比赛者，竞争者，竞争者；对手
compile	v. 编纂，汇编
complain	v. 抱怨，抱怨，诉苦；投诉，抱怨；不满，抱怨；埋怨 vi. 抱怨，抱怨；发牢骚，抱怨；投诉 vi.&vt. 抱怨
complain about	抱怨
complain about sb./sth.	抱怨；投诉
complain of	诉说，抱怨
complaint	n. 投诉；抱怨，抱怨，怨言；不平，委屈
complementary metal-oxide semiconductor(CMOS)	互补金属氧化物半导体
complete	完成 adj. 完全的，彻底的，完整的；整个的 v. 完成，完成；结束，把……填完整；使完全 vt. 完成，完成；使完工
completely	adj. 完全地 adv. 十分地；完全地，完全地，彻底地，完全地，彻底地；完全地，彻底地；完整地
completion	n. 完成，完成；竣工
complex	adj. 复杂的，复杂的；难懂的 n.
complex sentence	复合句
complexion	n. 面容，面貌，面色
complexity	n. 复杂性
complicated	复杂的 adj. 复杂的，复杂的，难懂的，复杂的：难懂的，复杂的；难懂的
complication	n. [医]并发症
compliment	n. 恭维，赞美，赞扬；称赞，赞美 v. 赞美，夸奖，称赞
component	n. 成分，成分，组成部分，成分；组成部分，组成部分，成分，部件
compose	v. 构成，组成 vt. 作曲；创作，作曲；构成；写作
compose music	创作乐曲
composed	adj. 镇静的，沉着的
composer	n. 作曲家，作曲家，创作者，作曲家；作家，作曲者，作曲家
composite	adj.  n.
